id,feedback,age,gender,race,ethnicity,time
1,I focused on which gears were spinning and whether any affected others. No questions  the task was clear.,54,Male,White,NA,425.438
2,I looked at which gears had the check mark.,52,Female,hispanic,Hispanic,369.973
3,the number of gears spinning and how functional the connections were if they were connected.,27,Female,Black/African American,NA,699.852
4,"if the gear was checked off, it was responsible for the surprise",56,Female,White,Non-Hispanic,364.563
5,If one mechanism opened another mechanism I considered it a more responsible component.,50,Female,White,Non-Hispanic,577.123
6,"Well, if there were only 3 gears that spun, then they were each 100% responsible for making the gears pop up, since it takes 3 to get the surprise.  However, if more than 3 gears were spinning, I first looked at how the gears worked with each other, then made my decision from there.  
Great study, thank you!",43,Male,White,Non-Hispanic,432.274
7,Total number of gears spinning and influence of one gear on others.,53,Male,White,Non-Hispanic,455.155
8,I felt that all the gears were important because at least 3 had to spin to get a surprise.,78,Female,White,Non-Hispanic,675.397
9,This was fun.,73,Female,White,Non-Hispanic,684.576
10,if there was one gear spinning others it did the most work. the ones it spins does the second most and if there are extras they don't really do much. if there are 5 spinning independently they all would only account for maybe 20% of the need,31,Male,White,Hispanic,425.783
11,I just looked at if the gear had a check or not,24,Female,Asian,Non-Hispanic,184.356
12,The total number of gears turning and also if one gear affected any other gears that were also turning.,42,Male,White,Non-Hispanic,283.57
13,I placed less importance on gears that were turned by another gear.,55,Male,White,Non-Hispanic,522.829
14,Whether they had a check mark and effected the pop up,66,Female,White,Non-Hispanic,328.886
15,Following the instructions,34,Female,Asian,Non-Hispanic,314.32
16,The instructions and no,33,Female,White,Non-Hispanic,469.867
17,NA,60,Female,White,Non-Hispanic,500.426
18,the part that had arrows connecting to other parts I rated highest.,45,Male,White,Non-Hispanic,494.926
19,If a gear was spinning another gear I answered extremely because that gear is responsible for multiples turning.,31,Male,White,Non-Hispanic,381.776
20,I estimated gears to have more impact if they were responsible for getting other gears to turn.,22,Female,Asian,Non-Hispanic,309.244
21,"If a gear was spinning others I counted that as Very Much responsible, but  if it was being spun, not responsible (unless there were only 3 spinning). It doesn't feel quite right but I'm not sure how best to do it!",62,Female,White,Non-Hispanic,503.162
22,If it had an arrow and was affecting other gears I marked it as more important.,36,Male,White,NA,268.483
23,"Difficult, but interesting. I tried to look at when one gear affected others.",56,Female,White,Non-Hispanic,518.293
24,Whether or not the gear directly controlled enough gears to single handedly cause the box to open with a surprise.,26,Male,White,Non-Hispanic,383.827
25,"A lot of cases were pretty straightforward. The hardest ones tended to be the ones where gears failed to turn other ones. It felt like this caused them to be not contribute a lot to the final outcome. In general, it was also important to count the number of contributing gears. The more gears that contributed, the less each individual one did. Otherwise, I just answered intuitively.",35,Male,White,Non-Hispanic,931.819
26,If another wheel affected the other ones,51,Male,White,Non-Hispanic,409.216
27,If one made another spin it was the most responsible.,47,Male,White,Non-Hispanic,227.922
28,Being the starting point of an arrow increased importance and being an endpoint decreased importance.,32,Male,Asian,Non-Hispanic,319.203
29,"I assumed that if a gear was affected by another, then the affector must have been more important.",20,Male,Asian,Non-Hispanic,359.187
30,"I thought that even though there were only 3 gears that were needed, all of them were important.",40,Female,White,Non-Hispanic,412.193
31,whether or not correct gears were impacted by other gears,22,Female,White,Non-Hispanic,255.735
32,green check marks and arrows,48,Female,White,Non-Hispanic,712.859
33,I just took guesses for the answers.,30,Female,Black/African American,Non-Hispanic,313.513
34,I tried to give credit where it was due.,55,Male,White,Non-Hispanic,367.587
35,The gears that controlled other gears turning had more of an effect on the toy popping out,45,Male,White,Non-Hispanic,533.213
36,"At least 3 gears have to be turning for the surprise to pop up. However, i was not able to say which 3 gears so i marked all the ones that were marked with a green arrow.",69,Female,White,Non-Hispanic,623.864
37,"
If they showed they were working but connected to the other gears.",35,Male,White,Non-Hispanic,580.756
38,I considered if they were connected,27,Female,White,Non-Hispanic,269.072
39,the arrows,56,Female,White,Non-Hispanic,453.881
40,"The gears turned independently, so all gears turning could have been partly responsible for the pop up. When 3 gears turned, they all had to play a part in the pop up.",51,Female,White,Non-Hispanic,412.242
41,I considered whether a gear affected any others and caused them to spin and how many total were spinning with or without this gear.,33,Female,White,Non-Hispanic,294.204
42,I thought the checlmarked letters that arrowed to other checkmarked letters ultimately helped the operation the most. In instances where there were no arrows I think the checkmarked letters worked as a 3+ team to make it work equally,33,Male,White,Non-Hispanic,405.605
43,NA,38,Female,Asian,Non-Hispanic,246.053
44,"When a gear controlled another gear and there was only 3 or 4 gears, meaning that gear had to work in order for the surprise to pop up.",28,Female,White,Non-Hispanic,259.346
45,The way the gears were presented,29,Female,White,Non-Hispanic,149.682
46,I rated responsibility based on which gears spun and which gears caused others to spin.,25,Male,Multiracial,Non-Hispanic,481.836
47,"If only three worked, I found those to be very important.  I also found the gear that controlled other gears to be important if they activated a working gear.",43,Female,White,Non-Hispanic,223.685
48,NA,27,Male,White,Non-Hispanic,349.242
49,I think it depended on what information was available what gears started others.,28,Female,White,Non-Hispanic,241.303
50,If the gears were spinning i thought they all played the same role in helping the box pop up.,40,Male,White,Non-Hispanic,421.512
